"YEAR","TYPE","WEEK","Match","Team A","Team B","MATCH WIN","Score A","Score B","","","","","","","","","","","","","","","",""
"2026","AOG Spring","s1w6d4","56","1S","BOX","1S","3","2","","","","","","","","","","","","","","","",""
"2026","AOG Spring","s2w1d1","1","BOX","FPL","FPL","2","3","","","","","","","","","","","","","","","",""
"2026","AOG Spring","s2w1d1","2","SGP","GAM","SGP","3","2","","","","","","","","","","","","","","","",""
"2026","AOG Spring","s2w1d1","3","FPT","1S","FPT","3","2","","","","","","","","","","","","","","","",""
"2026","AOG Spring","s2w1d2","4","GAM","BOX","GAM","3","0","","","","","","","","","","","","","","","",""
"2026","AOG Spring","s2w1d2","5","FPT","FPL","FPT","3","0","","","","","","","","","","","","","","","",""
"2026","AOG Spring","s2w1d2","6","SGP","1S","SGP","3","0","","","","","","","","","","","","","","","",""
"2026","AOG Spring","s2w1d3","7","GAM","FPL","FPL","1","3","","","","","","","","","","","","","","","",""
"2026","AOG Spring","s2w1d3","8","1S","BOX","1S","3","2","","","","","","","","","","","","","","","",""
"2026","AOG Spring","s2w1d3","9","FPT","SGP","FPT","3","2","","","","","","","","","","","","","","","",""
"2026","AOG Spring","s2w1d4","10","1S","GAM","GAM","0","3","","","","","","","","","","","","","","","",""
"2026","AOG Spring","s2w1d4","11","SGP","FPL","SGP","3","2","","","","","","","","","","","","","","","",""
"2026","AOG Spring","s2w1d4","12","FPT","BOX","FPT","3","0","","","","","","","","","","","","","","","",""
"2026","AOG Spring","s2w1d5","13","1S","FPL","FPL","2","3","","","","","","","","","","","","","","","",""
"2026","AOG Spring","s2w1d5","14","FPT","GAM","FPT","3","1","","","","","","","","","","","","","","","",""
"2026","AOG Spring","s2w1d5","15","SGP","BOX","SGP","3","2","","","","","","","","","","","","","","","",""
"2026","APL","wcd1","1","CFX","BOX","BOX","0","2","","","","","","","","","","","","","","","",""
"2026","APL","wcd1","2","TEN","1S","1S","1","2","","","","","","","","","","","","","","","",""
"2026","APL","wcd2","3","TL","ONE","ONE","0","2","","","","","","","","","","","","","","","",""
"2026","APL","wcd2","4","BAC","HKA","BAC","2","1","","","","","","","","","","","","","","","",""
"2026","APL","wcd1","5","TEN","CFX","TEN","0","3","","","","","","","","","","","","","","","",""
"2026","APL","wcd2","6","TL","HKA","HKA","0","3","","","","","","","","","","","","","","","",""
"2026","APL","wcd3","7","BOX","1S","1S","0","3","","","","","","","","","","","","","","","",""
"2026","APL","wcd3","8","BAC","ONE","ONE","0","3","","","","","","","","","","","","","","","",""
"2026","APL","wcd4","9","BOX","HKA","HKA","1","3","","","","","","","","","","","","","","","",""
"2026","APL","wcd4","10","BAC","TEN","BAC","3","1","","","","","","","","","","","","","","","",""
